var1, var2, var3, var4, var5
001_data1,001_data2,001_data3,001_data4,001_data5,
002_data1,002_data2,002_data3,002_data4,002_data5,
003_data1,003_data2,003_data3,003_data4,003_data5,
004_data1,004_data2,004_data3,004_data4,004_data5,
005_data1,005_data2,005_data3,005_data4,005_data5,
006_data1,006_data2,006_data3,006_data4,006_data5,
007_data1,007_data2,007_data3,007_data4,007_data5,
008_data1,008_data2,008_data3,008_data4_XYZ,008_data5,
009_data1,009_data2,009_data3,009_data4,009_data5,
010_data1,010_data2,010_data3,010_data4_XYZ,010_data5,
011_data1,011_data2,011_data3,011_data4,011_data5,
012_data1,012_data2,012_data3,012_data4,012_data5,
013_data1,013_data2,013_data3,013_data4,013_data5,
014_data1,014_data2,014_data3,014_data4,014_data5,
015_data1,015_data2,015_data3,015_data4,015_data5,
016_data1,016_data2,016_data3,016_data4,016_data5,
017_data1,017_data2,017_data3,017_data4,017_data5,
018_data1,018_data2,018_data3,018_data4,018_data5,
019_data1,019_data2,019_data3,019_data4,019_data5,
020_data1,020_data2,020_data3,020_data4,020_data5,
021_data1,021_data2,021_data3,021_data4,021_data5,
022_data1,022_data2,022_data3,022_data4,022_data5,
023_data1,023_data2,023_data3,023_data4,023_data5,
024_data1,024_data2,024_data3,024_data4_XYZ,024_data5,
025_data1,025_data2,025_data3,025_data4,025_data5,
026_data1,026_data2,026_data3,026_data4,026_data5,
027_data1,027_data2,027_data3,027_data4,027_data5,
028_data1,028_data2,028_data3,028_data4,028_data5,
029_data1,029_data2,029_data3,029_data4,029_data5,
030_data1,030_data2,030_data3,030_data4,030_data5,
031_data1,031_data2,031_data3,031_data4,031_data5,
032_data1,032_data2,032_data3,032_data4,032_data5,
033_data1,033_data2,033_data3,033_data4,033_data5,
034_data1,034_data2,034_data3,034_data4,034_data5,
035_data1,035_data2,035_data3,035_data4,035_data5,
036_data1,036_data2,036_data3,036_data4,036_data5,
037_data1,037_data2,037_data3,037_data4,037_data5,
038_data1,038_data2,038_data3,038_data4,038_data5,
039_data1,039_data2,039_data3,039_data4,039_data5,
040_data1,040_data2,040_data3,040_data4,040_data5,
041_data1,041_data2,041_data3,041_data4,041_data5,
042_data1,042_data2,042_data3,042_data4,042_data5,
043_data1,043_data2,043_data3,043_data4,043_data5,
044_data1,044_data2,044_data3,044_data4,044_data5,
045_data1,045_data2,045_data3,045_data4,045_data5,
046_data1,046_data2,046_data3,046_data4,046_data5,
047_data1,047_data2,047_data3,047_data4,047_data5,
048_data1,048_data2,048_data3,048_data4,048_data5,
049_data1,049_data2,049_data3,049_data4,049_data5,
050_data1,050_data2,050_data3,050_data4,050_data5,
051_data1,051_data2,051_data3,051_data4,051_data5,
052_data1,052_data2,052_data3,052_data4,052_data5,
053_data1,053_data2,053_data3,053_data4,053_data5,
054_data1,054_data2,054_data3,054_data4,054_data5,
055_data1,055_data2,055_data3,055_data4_XYZ,055_data5,
056_data1,056_data2,056_data3,056_data4,056_data5,
057_data1,057_data2,057_data3,057_data4,057_data5,
058_data1,058_data2,058_data3,058_data4,058_data5,
059_data1,059_data2,059_data3,059_data4,059_data5,
060_data1,060_data2,060_data3,060_data4,060_data5,
061_data1,061_data2,061_data3,061_data4,061_data5,
062_data1,062_data2,062_data3,062_data4,062_data5,
063_data1,063_data2,063_data3,063_data4,063_data5,
064_data1,064_data2,064_data3,064_data4,064_data5,
065_data1,065_data2,065_data3,065_data4,065_data5,
066_data1,066_data2,066_data3,066_data4_XYZ,066_data5,
067_data1,067_data2,067_data3,067_data4,067_data5,
068_data1,068_data2,068_data3,068_data4,068_data5,
069_data1,069_data2,069_data3,069_data4,069_data5,
070_data1,070_data2,070_data3,070_data4,070_data5,
071_data1,071_data2,071_data3,071_data4,071_data5,
072_data1,072_data2,072_data3,072_data4,072_data5,
073_data1,073_data2,073_data3,073_data4,073_data5,
074_data1,074_data2,074_data3,074_data4_XYZ,074_data5,
075_data1,075_data2,075_data3,075_data4,075_data5,
076_data1,076_data2,076_data3,076_data4,076_data5,
077_data1,077_data2,077_data3,077_data4_XYZ,077_data5,
078_data1,078_data2,078_data3,078_data4,078_data5,
079_data1,079_data2,079_data3,079_data4,079_data5,
080_data1,080_data2,080_data3,080_data4,080_data5,
081_data1,081_data2,081_data3,081_data4,081_data5,
082_data1,082_data2,082_data3,082_data4,082_data5,
083_data1,083_data2,083_data3,083_data4,083_data5,
084_data1,084_data2,084_data3,084_data4,084_data5,
085_data1,085_data2,085_data3,085_data4,085_data5,
086_data1,086_data2,086_data3,086_data4,086_data5,
087_data1,087_data2,087_data3,087_data4,087_data5,
088_data1,088_data2,088_data3,088_data4,088_data5,
089_data1,089_data2,089_data3,089_data4,089_data5,
090_data1,090_data2,090_data3,090_data4,090_data5,
091_data1,091_data2,091_data3,091_data4,091_data5,
092_data1,092_data2,092_data3,092_data4,092_data5,
093_data1,093_data2,093_data3,093_data4,093_data5,
094_data1,094_data2,094_data3,094_data4,094_data5,
095_data1,095_data2,095_data3,095_data4_XYZ,095_data5,
096_data1,096_data2,096_data3,096_data4,096_data5,
097_data1,097_data2,097_data3,097_data4,097_data5,
098_data1,098_data2,098_data3,098_data4,098_data5,
099_data1,099_data2,099_data3,099_data4_XYZ,099_data5,
